SG_SG,SG_PL,PL_SG,PL_PL,sent
-52.25715969085693,-52.28185641479492,-50.308419456481936,-49.44971343231201,heathen
-64.24563856506347,-62.84115990447998,-63.00893832397461,-58.84716011810303,heavyweight
-61.498027435302724,-61.143319107055675,-64.54767837524415,-60.50499178314209,hedonist
-54.65651863861084,-54.86363215637207,-55.93761491394043,-51.88426133728027,helper
-47.99602226257324,-51.009395454406736,-54.929197036743155,-50.979557121276855,hero
-58.891301460266114,-56.47516717529297,-66.50273990631104,-61.96242984771729,heterosexual
-64.65389156341553,-65.57861297607423,-73.73909126281737,-69.69826759338379,hobbyist
-58.34869835662842,-60.526187301635744,-63.19168891906738,-59.928494987487795,holder
-53.50793720245361,-54.79179930877685,-63.854904632568356,-60.539077095031736,holidaymaker
-56.34703873443603,-59.1627759475708,-67.68288208007813,-63.85332120513916,homeowner
-56.23976707458496,-55.1967314453125,-62.045261932373045,-56.97141437530517,homosexual
-52.84392366027832,-51.88254766082763,-53.51774423980713,-51.13875010681152,honey
-55.97025136566162,-55.08846630859375,-61.928710411071776,-57.47676810455322,hopeful
-55.82108092498779,-56.66347557830811,-65.20291189575195,-61.35116049194336,horticulturist
-51.44094806671143,-51.84752121734619,-54.45819007110596,-52.085316383361814,host
-57.534657035827635,-61.03132700347901,-61.20081385040283,-56.88735350036621,householder
-69.746544631958,-68.91171350860596,-57.036802604675295,-54.300561515808106,hugger
-54.86278903198242,-56.02531797790528,-65.57399739837646,-61.55297956085205,hulk
-54.6266330947876,-53.0882289352417,-61.02214750671386,-57.60297811126709,humanist
-58.93416414642334,-57.147290000915525,-60.110923080444344,-55.8411820678711,humanitarian
-59.10951058959961,-58.93520193481445,-64.51588733673096,-61.56558310699463,humorist
-67.35766636657715,-67.95195977783203,-63.714406509399424,-59.78990319824218,humpback
-49.924323554992675,-52.05540658569336,-55.97896714782715,-52.06465840148926,hunter
-53.207640502929685,-56.9426936416626,-66.2548089981079,-63.19711022186279,husbandman
-58.02084023284913,-56.13248195648193,-58.55111547088623,-54.756606269836425,hybrid
-55.69944892883301,-54.84376666259766,-64.08982369232177,-59.75821890258789,idealist
-59.872374038696286,-60.50137672424317,-63.17231646728516,-59.14712281036377,ideologue
-55.85465424346924,-56.56869438171387,-59.985461181640616,-55.39480568695068,idiot
-70.42788178253174,-66.89642799377441,-57.813829528808604,-54.562086753845215,idler
-56.149897994995115,-57.19144832611084,-51.08329552459717,-51.03674890136719,illusionist
-58.023985748291025,-60.752662940979,-63.78655487060547,-60.13066709136963,imam
-57.692454391479494,-59.41460065460205,-61.99112406158447,-58.224688247680675,imitator
-51.20204416656494,-53.50940515899658,-57.87810795593262,-54.972717681884774,incarnation
-56.185007278442384,-55.07223040771484,-62.206855712890615,-58.421291053771974,incompetent
-54.80277844238281,-53.91741714477539,-62.32402795410156,-58.32480126953125,independent
-51.26189688873291,-53.280139038085935,-57.34468162536621,-55.51887178039551,individual
-60.96150769042968,-59.60877018737793,-57.77710661315918,-54.04691358947754,individualist
-58.33691358947754,-57.13439837646485,-57.39183945465088,-53.26290156555176,inferior
-51.537114585876466,-52.7448780670166,-59.68211486053467,-55.97603608703614,infidel
-54.372285621643066,-57.15588305664063,-59.33355319976807,-54.14986965179443,informant
-55.31354249572754,-58.276425369262704,-55.467000259399406,-52.13203761291504,inhabitant
-55.39985813140869,-54.95875653076172,-59.84309977722168,-59.97017736816407,initiate
-60.443558723449705,-60.2362981338501,-63.740662994384756,-61.23119278717041,initiator
-52.61657582855224,-54.61199977874756,-61.12435364532471,-57.87122423553467,instigator
-56.88731093597412,-57.10352300262451,-56.72570816040039,-53.42905657958984,insurgent
-49.45015166473389,-48.692406982421865,-58.25271086883545,-55.51510834503174,intellectual
-56.80596085357666,-59.539145263671884,-59.71745886230469,-55.26035994720459,interloper
-56.029001686096194,-55.33056914520264,-62.543900581359864,-58.93946058654785,internationalist
-51.84951721954346,-55.35442755889893,-61.39402445220947,-56.85115944671631,interpreter
-55.96884385681153,-54.11826845550537,-59.50301937866211,-56.18007512664795,intimate
-51.10521383666993,-54.42157657623291,-58.17804317474365,-53.83515222930908,intruder
-56.586417083740244,-57.135257873535146,-64.87556243896485,-62.731087341308594,inventor
-57.146275146484385,-60.449340995788575,-63.61073364257813,-59.44820175170897,investigator
-60.70348701477051,-60.84508945465088,-61.46984986114502,-57.80894856262207,investor
-54.09074251556397,-53.330640983581546,-64.10965453338623,-60.37290684509277,irregular
-57.352952713012705,-59.500676170349124,-56.610994941711425,-52.29287668609619,islander
-58.32622533416748,-57.75565029144287,-64.39550405883789,-60.67958525848389,isolationist
-61.27775070953369,-61.69315762329102,-63.22953757476807,-59.63798819732666,jock
-53.26573858642578,-55.436648643493655,-59.20680751037597,-55.83398589324951,judge
-61.09126065063477,-63.839032386779785,-75.10317057800295,-71.06037150573731,jumper
-56.959559425354,-56.7825032043457,-53.755315658569344,-49.25912858581543,junior
-56.01599111175537,-57.36766961669922,-65.13408353424072,-62.48475801849365,jurist
-53.35883954620361,-53.980147315979,-56.88450656890869,-54.130580192565915,juvenile
-49.32369064331055,-52.39956113433838,-59.849830223083494,-57.387666397094726,khan
-53.52007773590088,-57.160711013793936,-54.566877220153806,-50.510307891845706,kid
-56.66552440643311,-60.252813903808594,-60.02667588043213,-55.75289162445068,kidnapper
-49.20068674468994,-51.84386952972413,-56.136821922302246,-52.29638439178467,killer
-58.49443413543701,-60.208062110900876,-61.53992049407959,-59.09367399597168,kinsman
-58.24772969055176,-59.18622274017334,-57.28973346710205,-54.47422425842285,knocker
-53.592940223693844,-57.73744249725342,-58.568044090270995,-54.39762015533447,lad
-50.61565793609619,-51.104610153198244,-60.11418718719482,-56.616319114685055,lamb
-56.026693115234366,-58.99483169555664,-60.14243497467041,-55.9917572555542,lawgiver
-58.46047001647949,-61.57226459503174,-63.97052699279785,-61.910424697875975,lawmaker
-54.349245788574216,-56.57297906494141,-61.26190113067627,-57.91300518035889,layman
-53.94483296203613,-56.072297050476074,-61.41757386779785,-57.52101862335205,layperson
-55.668159660339356,-56.5890502243042,-59.6650795211792,-57.56646546936035,leader
-57.60767249298096,-60.757703155517575,-66.62886528015137,-62.114353897094716,learner
-51.973972900390635,-53.9017550201416,-60.14757747650147,-56.68799588012696,leech
-70.15890747833252,-64.62019081878663,-65.13777738189697,-60.60913941192627,lefty
-56.72951612854004,-55.60542036437988,-59.54634215545654,-55.018133766174316,lesbian
-55.208566413879396,-54.32939079284668,-59.55070925140381,-56.41658502197266,liberal
-61.76272595977783,-60.47183203887939,-65.16951458740235,-61.18823006439209,libertarian
-54.82994538879394,-53.763884048461904,-57.25636065673828,-54.231874504089355,libertine
-59.05102165222168,-58.981719108581544,-66.82882653808593,-63.09632462310791,linguist
-49.60994033050538,-50.50702641296387,-53.26395481109619,-49.59843115234375,lion
-59.38651917266846,-62.132886474609386,-56.751316787719716,-53.16797232055664,liquidator
