s,p,sent,s_freq,p_freq,freq
4.726375709533691,-1.3480356369018551,appointment,2742,656,3398
5.079194351196293,-0.48976873779297136,arbiter,248,22,270
4.371588668823243,1.2724924011230527,archer,950,324,1274
5.334556747436537,1.0072525329589794,architect,2373,1256,3629
4.9165342788696265,-1.052267044067392,archivist,71,13,84
5.524046424865723,1.3740421829223521,aristocrat,138,191,329
5.119454978942869,-0.6599890518188474,artificer,12,7,19
5.39181163024903,1.5415819320678636,artist,9094,7385,16479
5.067765243530282,1.9954607009887653,ascetic,142,50,192
4.522423599243162,3.0851655731201078,aspirant,29,15,44
4.162899238586434,-0.40764502716064044,assignee,10,5,15
3.8475210113525407,0.5391977005004875,assistant,5266,498,5764
4.3131474914550765,1.0652852401733384,associate,1675,1268,2943
4.200945327758788,1.2954076919555746,asthmatic,33,5,38
4.995996200561521,2.7357582702636734,astronaut,433,438,871
5.124333808898925,3.1210703659057515,athlete,1335,2410,3745
2.771396209716791,0.4343298339843713,attraction,1582,735,2317
5.080149642944335,-1.2258442535400391,auditor,184,97,281
5.695896965026854,0.17623790740967138,author,7640,3461,11101
3.6196001663207937,-2.281709510803232,authority,7524,5340,12864
3.531265892028813,-0.18633347320556481,automaton,39,43,82
4.474460311889651,1.1441492004394576,avatar,888,182,1070
4.61182277679444,4.467075637817381,baby,4303,480,4783
1.5899351272583004,-1.8433603057861276,balance,2775,122,2897
5.483277175903318,0.29505923461915273,banker,372,252,624
4.60787650299072,1.744583084106445,barbarian,318,163,481
2.690632904052734,1.9512442016601526,bather,7,25,32
5.370056045532223,2.5140738449096673,bearer,374,150,524
3.833764106750486,1.4979223175048872,beast,1214,238,1452
5.4966374130249065,2.8543299789428715,beater,46,11,57
5.070845710754391,2.5232625350952134,beginner,59,78,137
4.702773918151848,2.7161094589233414,behemoth,83,3,86
5.192634437561033,1.3193477783203136,beholder,54,3,57
2.4048278427124004,1.57881784820556,being,69128,978,70106
4.904555961608892,2.6647034759521517,believer,355,228,583
4.923680580139155,3.553402473449694,belligerent,111,42,153
3.5627098083496094,1.6881389007568401,beloved,547,4,551
5.713312255859385,0.6173912811279294,benefactor,187,94,281
5.259294876098636,3.315680412292494,bidder,118,56,174
5.845092720031737,1.8447637023925836,billionaire,174,31,205
5.062012268066411,0.12831397247314413,biologist,293,237,530
3.04516688537597,2.9142124633789166,bisexual,298,9,307
5.5828890762329095,-1.9408038024902439,biter,12,4,16
2.4959697952270545,0.46750163269042844,bleacher,42,88,130
5.421959625244135,0.20475407409668378,blogger,162,89,251
3.071568496704103,2.0231780471801812,blonde,641,31,672
3.7739839630126966,1.2790495529174848,boater,9,57,66
2.4549258804321212,1.8795858764648443,body,17987,5562,23549
5.394712348937993,1.580487289428703,bodybuilder,30,5,35
4.740375595092786,2.4652320861816364,bomber,2167,2884,5051
2.806903839111328,0.17948035430907794,boob,11,18,29
3.947517021179202,0.6798688964843649,bookmaker,37,73,110
3.8652614364624043,3.7072241897582927,boomer,66,27,93
4.393166023254402,2.5416632995605397,booster,281,98,379
5.5957087173461915,-0.005695602416992074,boss,2156,471,2627
5.222442832946776,1.6575620193481413,boxer,550,129,679
5.30777087402344,1.2491811752319393,brawler,28,5,33
4.739506919860844,0.42858781433106685,broadcaster,515,297,812
3.609818389892581,2.781402305603031,brunette,74,5,79
5.044859909057635,0.27652134704590026,brute,186,45,231
4.889333816528321,2.2867430419921817,buddy,424,46,470
3.1204870529174755,0.2485541610717803,buff,458,42,500
5.061003952026368,0.18226491546631252,builder,492,431,923
4.27915843963622,1.3246414108276312,bull,1696,585,2281
5.69035213470459,0.8454068832397539,bullfighter,18,5,23
4.148833702087387,1.3573861541748045,bum,81,24,105
4.8829950103759785,1.6199345779418906,businessperson,16,37,53
4.294657226562499,2.9007683181762687,busker,7,3,10
4.698111747741706,1.4560207901000979,buster,238,265,503
4.639067283630368,1.4190345077514621,caller,146,39,185
5.994410095214839,2.1919159545898452,candidate,4275,2755,7030
4.6615565643310575,1.3857932815551806,capitalist,358,85,443
5.068317771911609,1.3565034332275445,captain,13626,805,14431
4.230735748291025,3.675301017761228,captive,1064,352,1416
5.947380302429188,1.1740077438354461,captor,36,210,246
4.950411849975588,1.0410432891845716,caregiver,173,125,298
4.3786643829345735,3.429672515869143,carrier,3591,2397,5988
4.87996898651123,-0.3604582519531192,cashier,63,6,69
5.669880279541019,2.9633822402954095,castaway,36,34,70
4.774317199707028,-0.1006225891113317,caster,29,9,38
4.530153549194331,-0.6391624679565382,catalyst,402,145,547
0.9515054168701198,2.5484074401855423,category,6389,1759,8148
5.105613899230967,3.3017943115234374,celebrant,13,3,16
5.520665153503408,-1.7536486358642591,censor,285,313,598
3.8775189208984386,0.9479203567504797,centrist,68,7,75
5.203383903503422,1.099935272216797,centurion,169,43,212
5.112616432189952,3.5111302032470704,challenger,456,153,609
4.6149122619628855,2.983213912963876,chameleon,74,27,101
5.3408555221557705,2.9661974868774337,champion,5322,4183,9505
4.023789611816412,1.6802199249267602,changer,48,22,70
6.066260650634746,2.1628849411010833,chap,46,23,69
4.901454879760742,2.6816962661743204,character,34343,20753,55096
5.325304229736325,-0.49639778900146325,charmer,33,6,39
2.617685539245599,2.2530235519409274,cheerleader,180,94,274
5.138832939147946,0.8365899505615246,chemist,427,188,615
2.762331268310554,2.039878646850596,chicken,1204,264,1468
4.606760536193839,1.7880698013305576,chief,12922,1421,14343
5.627382553100588,1.534785850524898,chieftain,219,180,399
5.1618743362426756,3.8822763061523418,child,10686,22791,33477
