ss,pp,sent,s_freq,p_freq,freq
4.89889864084857,3.9941321899709568,chemist,427,188,615
4.666985431134995,4.648513769930755,chicken,1204,264,1468
4.519250381186971,4.068898458888176,chief,12922,1421,14343
4.828433497410391,4.130050450488575,chieftain,219,180,399
5.22568667209676,4.713131252772612,child,10686,22791,33477
5.121506422574161,4.049283681558242,choreographer,343,68,411
4.370524416578444,4.189827825991863,chum,50,12,62
4.662635433656005,4.261015888169055,citizen,1644,4207,5851
5.2508960642323075,4.392515403611892,claimant,322,157,479
4.11042163195259,4.232761499493195,class,22588,3889,26477
4.718703337088662,4.450354481325041,classmate,285,358,643
5.082195411172389,4.718550699091718,client,849,738,1587
4.757546221842189,4.588015122240723,clone,530,430,960
4.245246199383942,4.561925197026845,closer,3303,30,3333
5.079240043719647,4.276569196063576,coder,5,8,13
4.436915795596592,3.924865237796025,collector,1208,673,1881
4.8325862847483805,4.591625507401851,combatant,110,295,405
4.398046411689993,4.245733419744559,comer,60,26,86
5.141438385897773,4.141041755503043,commander,11359,1979,13338
4.6623143702658805,4.275678446480953,commentator,705,1446,2151
3.9926509459261226,4.283274956605494,commoner,103,226,329
4.653981956280875,4.489062744732173,companion,1945,908,2853
4.276542182892909,3.416313922572746,competition,8431,1677,10108
4.670403531154681,4.425199448306479,competitor,670,1164,1834
4.979359651607275,4.726320307474804,computer,6158,1189,7347
4.951777715176442,3.963165402475985,comrade,138,420,558
5.200731014808394,4.284900560782081,confessor,201,12,213
3.211843597283215,4.330963723335621,conservative,3913,1056,4969
4.065482781248212,4.256556131106853,consumer,1085,700,1785
2.888428228215231,3.346849578973959,contemporary,7271,1034,8305
4.579325191282276,4.4388999366313655,contender,690,440,1130
5.103367121598033,4.578048727391792,contestant,600,631,1231
4.923405634537893,4.220989745965014,contractor,517,456,973
5.232483413961813,4.439613945085311,controller,1077,450,1527
4.043531744707346,4.274233242538955,coon,178,31,209
4.407625726273251,4.590000534586222,copycat,47,4,51
4.7257592360741825,3.9852301339626255,correspondent,740,161,901
4.642571248846135,4.364078360177269,cottager,4,12,16
4.7628106558123715,4.151099225642412,counter,3737,237,3974
