ss,pp,sent,s_freq,p_freq,freq
4.109842357999938,4.447051461999955,biter,532,306,838
2.328450368000013,4.323204851999996,bleacher,9033,3998,13031
4.085579213999992,4.7738103880000935,blogger,48537,30692,79229
3.939182938000009,4.414303361999991,boater,621,2345,2966
3.985660780000053,4.794711845999963,boatman,702,526,1228
4.013776164000049,5.030131645999816,body,1036949,241587,1278536
4.044647158000032,4.622112616000145,bodybuilder,2626,2937,5563
3.927134430000116,4.811115965999974,bomber,44275,38056,82331
3.8273331339999785,4.802136475999951,bondsman,553,446,999
4.00774282199999,3.8222674559999206,bookmaker,1363,2639,4002
3.2283918679999957,5.238791403999997,boomer,6703,15065,21768
3.2569505679999295,4.644130685999961,booster,26185,10990,37175
3.9529209879999527,4.220598471999985,boss,180377,48969,229346
4.178792057999885,4.67630899400006,bowman,15464,254,15718
4.41575586600004,4.827990669999927,boy,344870,247922,592792
4.516780628000056,4.568505220000134,broadcaster,35350,20661,56011
3.762544987999995,4.862438056000059,brother,269930,178543,448473
4.449340195999994,4.551260004000092,brunette,5020,294,5314
3.4229713560000192,4.7164051060000105,buddy,39376,17096,56472
2.892042102000012,3.8228185919999618,buff,22085,12139,34224
4.128716338000011,4.806178572000178,builder,27762,25069,52831
4.018026975999938,4.272220871999927,bull,79088,72714,151802
4.335408894000132,4.756899315999959,bullfighter,442,157,599
4.267617613999917,4.611426479999963,businessperson,803,3522,4325
4.119933514000088,4.941308604000028,busker,699,641,1340
3.0725175019999824,3.9277682119999895,buster,11618,2333,13951
4.2355284079999365,4.684051900000107,candidate,506899,347570,854469
3.805381334000046,5.348947205999892,capitalist,88834,20133,108967
3.9963446339998683,4.3626888600000555,captain,253483,16668,270151
3.3719174059999943,5.2163544460000395,captive,29473,7587,37060
4.452268060000158,5.067278901999998,captor,1436,5759,7195
3.829771596000043,4.779627615999921,carrier,98127,59639,157766
4.113672091999938,4.4937872579999905,cashier,7243,2111,9354
3.767081840000145,4.878916814000021,castaway,1763,1674,3437
