SG_SG,SG_PL,PL_SG,PL_PL,sent
-27.456888600985238,-29.517901492610797,-30.140550194581277,-27.362033477832536,judge
-31.272095684729052,-33.27628484729062,-35.517878679802955,-32.05351691379314,jurist
-29.249365766009788,-29.364191928571444,-34.735079162561604,-31.781193793103434,juvenile
-31.132815529556595,-32.291783189655185,-35.084322724137934,-32.436093386699575,khan
-25.155936578817716,-27.55219946305418,-28.49159030049265,-25.100722780788136,kid
-31.173209864532048,-32.85752681773404,-34.162136613300504,-31.305722504926127,kidnapper
-25.435034418719216,-26.42358389655171,-32.26364551231522,-29.23647856650245,killer
-32.75476028817738,-34.330437721674826,-35.05818379310355,-32.85196634729064,kinsman
-30.579849330049267,-31.474179086206927,-33.15760159852221,-30.31252421674871,knocker
-33.171188623152716,-35.136983268472925,-39.32384876847294,-36.52959870935962,lawgiver
-31.155370073891664,-32.86844566009855,-33.72702349507392,-30.6304017339902,lawmaker
-30.41943627586212,-31.58238619211822,-33.692430672413714,-31.57660900492609,layman
-31.781745014778327,-33.04872484236454,-36.578467559113214,-33.32057511083745,layperson
-25.426587645320268,-26.865323812807876,-30.44609864532015,-27.264752605911355,leader
-29.581485261083714,-30.131303655172427,-32.60761758866997,-29.309617790640417,leech
-30.606944746305373,-31.156660534482786,-34.228318007389156,-30.658118061576282,lefty
-29.41041403940885,-28.789838073891627,-33.39369279556649,-29.950254394088702,lesbian
-28.460596963054233,-28.17560961822664,-32.07744825862073,-28.622280953201987,liberal
-29.379172519704433,-29.213341226600978,-33.967951169950716,-30.400208583743872,libertarian
-31.132797443349762,-31.3960977881774,-35.43841674630541,-32.335809955665056,libertine
-30.79364136945817,-32.318027605911325,-34.954911248768525,-31.315108177339862,linguist
-25.921091157635512,-26.741481980295557,-30.724018349753642,-27.541986842364512,lion
-33.92289980788175,-35.70289944088672,-36.93951223399014,-34.22137423891629,liquidator
-26.91279811576356,-29.12005834236453,-31.56547639408866,-28.348981635468014,listener
-33.320290051724136,-35.38368645320189,-36.28585924876856,-33.35071076600985,litigant
-33.48280720689649,-34.52074561576355,-37.68898918719209,-33.86321633004928,logician
-38.47730474384235,-40.39136010344832,-42.343892187192154,-39.17103139162553,logistician
-30.435599091133042,-31.921909428571375,-35.975164403940944,-33.30534366748772,looker
-27.154811391625646,-28.270129268472907,-31.08971850738921,-28.57288644827589,lord
-26.95992972660099,-29.73098934729061,-31.711610391625616,-27.58430171182269,loser
-26.739782357142943,-27.544719655172447,-32.613417571428606,-29.42802059852217,lot
-31.715508492610823,-33.00950873399014,-35.650617753694604,-32.59025793842366,lout
-27.458656251231538,-29.541273960591113,-31.180450059113344,-27.924338551724162,lover
-28.45413832266013,-28.79752061083747,-33.76677861576354,-29.598482201970445,lunatic
-24.63799069704428,-27.0199727068965,-30.512611125615805,-26.689485633004946,machine
-31.183041182266056,-32.74278132758613,-35.420245896551684,-32.041470970443356,mailer
-28.084425950738908,-28.95874479556652,-32.60764183251236,-29.303702859605924,maker
-25.951106221674838,-26.64506031527092,-31.335904665024625,-27.604791931034473,male
-23.210305669950728,-25.66872791133009,-27.784727182265968,-25.040232147783264,man
-29.94197996059109,-32.31133899261085,-34.392412793103475,-30.861345399014805,manipulator
-30.559785972906443,-32.651212325123154,-33.96688892610841,-30.622728145320202,marcher
-25.89963269211821,-26.226338842364513,-30.519215411330052,-27.856274470443363,master
-28.694762935960554,-29.916585997536878,-32.79405169704433,-30.056263637931064,mate
-32.993601773399035,-33.40121982019701,-37.84658511822655,-33.753213731527076,materialist
-29.215818470443374,-30.788077995073905,-34.89247440640398,-31.607826820197072,mentor
-28.630493628078817,-29.320084219211854,-31.921659667487717,-29.13658721182266,mercenary
-34.30641115517238,-35.845440241379286,-37.67483636206898,-34.452231623152734,metallurgist
-29.31997555665029,-29.76101894088668,-34.20930744581286,-31.179158970443424,midget
-29.29598287438425,-29.682147899014787,-32.04357321428567,-28.999388327586136,migrant
-33.356101206896554,-33.27755600738923,-36.38456807635465,-32.81172327093594,militarist
-35.82011177339905,-35.584291549261096,-40.550431374384274,-37.21787100738921,millenarian
-29.531696825123174,-30.12139559359605,-33.91779765517241,-30.926236810344857,millionaire
-35.90525790147787,-36.916001793103455,-40.1281069802955,-36.85003778325125,mineralogist
-26.583237219211828,-27.26354451231528,-31.65763768719211,-28.634389453202033,minor
-30.68708357142857,-31.27823492364537,-34.19508141871921,-30.774586704433457,misfit
-28.688362497536954,-29.15489193103445,-33.02592540886702,-29.869118967980317,missionary
-25.82126557881772,-27.247659766009825,-30.77212800492603,-27.990720174876863,model
-31.020450113300466,-32.81335109113304,-35.46927646551728,-32.33105155665021,modeler
-39.62033608866994,-39.900909233990156,-45.63084048768486,-41.913536039408896,moderationist
-29.87476049261086,-30.83681888177341,-34.244213150246324,-31.18958549753693,modifier
-33.24866301231525,-34.38070890147779,-35.85768227339905,-32.724372162561544,moneymaker
-24.2270841945813,-26.057577081280797,-29.360188931034518,-26.267165278325127,monster
-29.59311096059113,-31.083377110837446,-33.71439348522169,-30.675572706896553,moron
-27.86661757142858,-28.067875386699534,-33.021141458128064,-29.688321093596105,mortal
-30.508110854679842,-32.866683620689614,-34.10591264285716,-31.11794640640394,motorcyclist
-31.54786901724141,-33.05389020935957,-35.74426682758617,-32.519008640394105,mountaineer
-25.522526091133003,-26.81890345566504,-31.517660977832513,-29.42963477093594,mouse
-29.879862064039465,-31.638324820197028,-32.963685401477825,-29.63440805418718,mover
-28.049883519704398,-29.992232738916282,-33.29886023645317,-30.407789970443364,murderer
-32.88416680788173,-35.12408338669956,-37.03913265024635,-33.06172293596064,musher
-28.28286726354685,-28.576570280788182,-32.197455241379316,-29.016110527093602,mutant
-28.4620094211822,-27.338719598522143,-33.43973526847287,-30.878285229064,national
-29.483955051724106,-29.39510014532014,-33.60944701477831,-30.330664174876837,nationalist
-26.849310785714287,-26.944915709359623,-31.230000536945766,-27.97667501477832,native
-31.58040205665027,-31.74569502216745,-35.487910224137984,-32.42076743103441,naturist
-29.853358460591174,-31.556135142857137,-35.98242407389168,-33.06281101724141,navigator
-29.98850285960589,-32.14553516256165,-34.63093348768477,-31.3896305320197,negotiator
-27.64643690394089,-29.06694692610845,-30.81355172660095,-27.668305182266035,neighbor
-28.559390963054234,-29.992156610837412,-31.803752738916263,-28.657244162561593,neighbour
-27.768540056650206,-28.16796825369455,-31.833081731527052,-27.97182073891625,nerd
-30.15873333497532,-31.067098802955666,-34.995731633004944,-31.25285094334977,nestling
-30.385499615763578,-32.6658656206896,-35.12820845566503,-32.454339293103445,newsman
-30.733974731527077,-31.474670310344834,-35.395519068965505,-31.65994013300495,nihilist
-32.31362344334974,-32.082383399014766,-37.28446749014777,-33.34364636206897,nonconformist
-31.597222233990177,-31.49182813300489,-35.157196699507445,-31.755308366995106,nudist
-35.60227389162562,-36.45492991871927,-39.21683166256162,-35.92294016256153,numismatist
-31.868626152709407,-33.241631036945876,-36.97395917980296,-33.59653408128085,objector
-27.7902706182266,-29.62200862561577,-32.609897699507364,-29.42858650492611,observer
-30.326350140394016,-31.398870076354683,-34.410728566502485,-31.39500389655171,occultist
-28.159039221674828,-29.986562926108355,-31.79304240886703,-28.58552194334979,occupant
-30.64750996551723,-32.800119261083665,-32.958292714285676,-29.876299997536982,occupier
-33.26197919704428,-34.53721264532023,-36.5881945221675,-33.64172949507391,oceanographer
-30.500778999999987,-29.93030772413793,-35.33481244088668,-32.534093827586204,oddball
