SG_SG,SG_PL,PL_SG,PL_PL,sent
-35.49664516200003,-37.829080678000004,-39.91378850600004,-36.01997665600001,claimant
-35.14284313400001,-34.589747926000044,-39.23912658999994,-35.297401662000034,class
-35.965684378000006,-38.584695599999954,-38.755247826000044,-35.361547870000045,classmate
-33.787702507999995,-34.95551034199999,-37.975302576000026,-33.994025105999995,client
-39.08326955799997,-42.534262135999974,-42.45964309199999,-39.04098256400006,climatologist
-35.00609074800002,-37.65382556,-37.223632945999995,-34.140374425999994,clone
-36.63885059600001,-39.237427184000076,-39.25022896000004,-35.359949515999986,coder
-34.38900318800001,-36.93651930400001,-37.871407090000055,-34.85032223799997,collector
-37.359635775999955,-39.723995878000025,-40.366435972000055,-37.043104767999935,comer
-31.35692298400001,-35.34160910200001,-36.60382961,-33.71394332400004,commander
-34.17835233399998,-37.76556949400013,-37.058710495999996,-33.94471960799997,commentator
-36.73554550399992,-39.806599293999966,-40.04346639199997,-36.662886676000035,commoner
-37.618388729999936,-39.64413649599997,-41.438888706,-38.108853022000076,communicator
-35.548781026,-37.021534068000065,-36.477901304000014,-33.00713412199998,companion
-37.470267022000044,-40.70767023400006,-39.02009808999996,-35.80332705,compatriot
-35.545606631999995,-35.272846105999925,-40.74607456200005,-37.99911532000001,competition
-34.4572126240001,-36.513865648,-37.53624103200006,-33.381232346,competitor
-33.51729122399994,-34.13326499599997,-37.476266556,-33.48051417199998,computer
-34.267998215999974,-37.819753935999984,-37.47570492400003,-34.248455596000035,comrade
-36.74114044200002,-40.93258039400003,-40.355947406,-37.46090548400003,confessor
-37.260725234000006,-40.658091993999975,-42.53364051399997,-39.708309676000034,confidant
-41.65779830799993,-43.28195921799999,-43.955588540000036,-40.19793695400005,congener
-34.763062598000005,-37.04149574400002,-36.41766901200002,-33.360934361999995,conservative
-37.97364931399998,-40.22942493799993,-40.29050063799996,-38.446953666000006,conservator
-33.93245096000002,-34.73123827000002,-37.874447137999965,-33.518797763999984,consumer
-38.41059216399999,-39.714380686000034,-39.45457814800004,-36.56353521599996,contemporary
-35.99092607199997,-38.4934514100001,-39.91498421400001,-35.624849658,contender
-34.49368296999996,-36.043464392,-37.88377056599997,-33.59142588399999,contestant
-34.99780641999997,-36.66794583600002,-37.996362903999966,-34.92284914000006,contractor
-35.27341334800003,-36.47554841800002,-38.128305566000016,-34.620295478,controller
-38.32612364599999,-40.50324124800004,-41.265458913999936,-37.61464543799999,coon
-37.746519018,-38.65030547999999,-40.68331626800008,-37.41184814800003,copycat
-37.411511599999955,-41.437079569999945,-41.457489024000076,-37.569612452000015,cosmonaut
-38.789844055999936,-42.061097328,-41.98535120199992,-38.123302344000024,cottager
-35.249770586,-35.85818398600002,-37.57330214000006,-34.77321240199999,counter
-34.07230330399998,-36.995500938000006,-37.44346463200002,-34.080023685999976,cousin
-35.57054392599999,-37.71436669999998,-38.471006843999966,-35.06497917799995,crab
-37.52761316800008,-38.79347281200005,-38.81825318400001,-35.54737098400005,crawler
-32.447167186000016,-35.371618884000036,-36.282854533999995,-33.09407699200002,creator
-31.751346573999985,-33.973225067999984,-34.98317634800003,-31.558285707999982,creature
-37.198667129999954,-38.74969752000005,-38.005974345999974,-34.72753103400005,creditor
-34.29124156600007,-37.98929218200007,-40.037825692000006,-36.973699622000034,cripple
-40.36777601199997,-43.01748903799994,-39.782172812000056,-36.791684663999966,crony
-41.247858426,-42.56486221800002,-43.780895564000026,-39.83154472600001,crossbreed
-35.272847491999954,-38.734376835999946,-37.783344619999966,-34.330847351999985,crusader
-35.52468891000001,-38.202545276000045,-37.32977664599992,-34.69946477200001,cultist
-33.69455000599999,-36.04814727599997,-37.213172377999975,-33.092724216,dancer
-37.74327196999999,-40.402666488000094,-40.105642617999976,-36.498342982000025,debater
-32.36029383000006,-35.81275966599996,-35.71123631400003,-32.636505947999986,defender
-39.92231683599991,-42.45855580000002,-42.671736388000014,-39.057315180000025,deist
-35.25808561399995,-38.960324916,-38.48870269999999,-35.232528249999945,demigod
-31.698694459999995,-34.78261655400001,-34.31753713399995,-31.657044977999963,demon
-38.902598893999965,-41.77841342600007,-41.100773082000096,-37.717015530000026,denier
-37.93719829999999,-40.85920960799996,-40.806360147999904,-37.195664400000055,denizen
-36.625979921999956,-38.87682339599999,-39.13016707799999,-35.38145588000005,descendant
-38.56833135600004,-40.9321384339999,-40.73531193400007,-37.15838957399997,descendent
-36.077984956,-40.056146918,-40.251637743999964,-36.54817873599996,deserter
-32.72966616000002,-35.37499886800003,-36.25605314000001,-33.26669101199996,designer
-33.30629273000001,-34.80710307999996,-35.528538160000046,-32.555949238000004,developer
-35.08200769599995,-38.1748281340001,-38.396651440000035,-35.237745820000036,devotee
-32.29120253599996,-36.776491690000015,-38.431816836000024,-34.993965312000014,dictator
-43.976792232,-44.24537447200004,-45.286071148000005,-40.912471185999905,diploid
-30.575596683999997,-34.204206024000094,-35.805351990000034,-32.86556101400005,director
-33.32635353999999,-37.34535831000001,-35.813706382,-32.50602064800001,disciple
-37.5249926599999,-41.09384831799996,-40.778026239999946,-37.246017422000016,discoverer
-36.591148598000004,-39.25444594799997,-39.53842917799998,-36.71042589999999,dissenter
-36.293884381999995,-37.107461469999976,-38.694649822000024,-35.34199758000005,distributor
-33.94210812600006,-37.319810378000014,-37.842104123999974,-34.554348880000006,diver
-38.29060071799997,-39.23573659999995,-41.36220771999992,-38.310302202000045,divider
-36.818281651999975,-39.52573074200007,-40.605441182000106,-37.06579101799997,doer
-36.62919901799992,-39.54684009199989,-38.099370481999976,-34.82564630000001,doubter
-33.86313242600002,-36.910065002000024,-38.87476984800003,-35.08271141000003,dreamer
-38.179823147999976,-39.15376998599996,-40.895022102000055,-37.83744270599996,dresser
-38.22929068199996,-41.80370828399992,-41.35768364599997,-38.89630974800007,dribbler
-30.287768581999988,-33.32556610000002,-36.007712580000025,-32.314371551999976,driver
-41.56461209,-43.11699203200003,-40.973471433999975,-37.599472928000004,dropout
-38.13297525800003,-39.53723297200002,-40.25189977400007,-36.14492982200002,dupe
-31.99491965399997,-35.59353477999996,-35.972698032000025,-33.026913856000036,dwarf
-35.73587495399992,-38.75407414800004,-38.86702737000003,-35.37573758000005,dweller
-39.8016397,-41.98165107599998,-42.48204593399994,-38.522798005999974,dynast
-32.671351733999984,-36.71182159400003,-35.56513267999998,-32.79016394800002,elder
-35.807961891999994,-39.233261920000025,-42.274055072000095,-39.11531356999994,emcee
-32.896316121999995,-35.27391292200003,-35.38178955599997,-31.904551248,employee
