ss,pp,sent,s_freq,p_freq,freq
3.725491645812994,2.3440728759765506,bondsman,3,5,8
2.6559906387329306,1.3593812789916981,boob,11,18,29
3.5216349411010697,2.693628616333015,bookmaker,37,73,110
3.347969413757312,2.8800570068359406,boomer,66,27,93
3.49816408538819,2.4458536376953077,booster,281,98,379
3.857374732971188,2.501261795043945,boss,2156,471,2627
3.591770355224604,2.4921385650634775,bowman,455,22,477
3.304286102294917,2.2476039962768652,boxer,550,129,679
4.329795806884761,2.7318936080932588,boy,7855,4928,12783
3.352338592529293,1.9537527770996093,boyfriend,1689,74,1763
3.4016334609985392,2.1897483901977495,brawler,28,5,33
3.954347282409664,2.547268692016601,broadcaster,515,297,812
3.0049366455078115,3.328210632324229,brother,12442,6567,19009
3.3046970214843725,2.500419029235843,brunette,74,5,79
3.3883821563720744,2.27837046051026,brute,186,45,231
3.3486054077148424,2.4203356246948147,buddy,424,46,470
2.9634763412475564,2.083685127258306,buff,458,42,500
3.813659118652339,2.618355812072757,builder,492,431,923
3.3072634735107442,2.3623806838989267,bull,1696,585,2281
3.938415557861326,2.221447761535643,bullfighter,18,5,23
3.022442573547366,2.1547951278686526,bum,81,24,105
3.9172035446166973,2.2939713897705047,businessperson,16,37,53
3.8850185775756785,2.332030471801758,busker,7,3,10
3.1964367370605373,2.685639739990229,buster,238,265,503
3.9779392776489217,2.40158587646485,caliph,564,52,616
3.9538499984741193,2.3531686706542985,caller,146,39,185
4.002251701354993,2.6589325637817325,candidate,4275,2755,7030
3.776737915039064,1.8149042510986533,capitalist,358,85,443
3.966312774658199,2.6320031738281244,captain,13626,805,14431
3.4524988021850618,2.728827377319334,captive,1064,352,1416
4.101554100036623,2.7595380020141604,captor,36,210,246
4.236086296081538,2.242932723999033,caregiver,173,125,298
4.177837120056154,2.7941586608886695,carrier,3591,2397,5988
3.899058784484872,1.8356282424926746,cashier,63,6,69
4.194711364746105,2.8609916992187507,castaway,36,34,70
3.882096282958969,2.0982190093994078,caster,29,9,38
3.465645355224609,2.4896216812133787,catalyst,402,145,547
3.232407081604002,2.6243510818481326,category,6389,1759,8148
3.6236478347778274,2.6842288360595674,caveman,20,21,41
3.9725722274780324,3.0516602554321395,celebrant,13,3,16
3.7159025726318475,2.471314506530746,censor,285,313,598
3.2174522933959935,2.497235153198247,centrist,68,7,75
3.8289729385375963,2.3914806289672867,centurion,169,43,212
4.240404136657709,2.5844722290039073,challenger,456,153,609
3.760993225097657,2.706524246215821,chameleon,74,27,101
3.5828157348632743,2.4664554824828997,champion,5322,4183,9505
3.6614634628295875,2.2695761566162105,changer,48,22,70
3.943430274963376,2.767717079162601,chap,46,23,69
3.9957099533081006,2.9618108215332057,character,34343,20753,55096
4.166173545837395,1.5245235977172769,charmer,33,6,39
3.6327599258422794,2.3730998764038134,cheerleader,180,94,274
3.7498005371093726,2.7629046630859335,chemist,427,188,615
3.260980873107904,2.545099662780764,chicken,1204,264,1468
3.4536440734863305,2.2183765640258812,chief,12922,1421,14343
4.017553482055668,2.519261001586912,chieftain,219,180,399
3.7876643447875864,2.979972663879394,child,10686,22791,33477
3.793317359924309,2.4507356185913096,choreographer,343,68,411
3.7373145065307583,2.404875350952132,chum,50,12,62
3.996418037414543,2.581721855163579,churchgoer,12,20,32
3.8724726028442475,2.7081126861572287,citizen,1644,4207,5851
3.8092842254638697,2.730582794189452,claimant,322,157,479
2.759802070617681,2.539287117004406,class,22588,3889,26477
