s,p,sent,s_freq,p_freq,freq
2.476526645999975,3.5989471239999276,businessperson,803,3522,4325
3.7021237720002134,2.8070335419998003,busker,699,641,1340
2.6004560780000006,2.8161085600000106,buster,11618,2333,13951
2.875095916000017,3.875593625999926,candidate,506899,347570,854469
2.7807229220000664,3.6640923299999315,capitalist,88834,20133,108967
3.9462524239999652,3.3200370900000067,captain,253483,16668,270151
2.161611741999941,3.8328328939999494,captive,29473,7587,37060
2.6692017099998893,1.8732180019999305,captor,1436,5759,7195
0.7209641660000301,3.790112832000027,carrier,98127,59639,157766
1.932455252000075,2.976809531999969,cashier,7243,2111,9354
2.0067938019999616,3.92377118600011,castaway,1763,1674,3437
-0.17531419599995957,3.571388044000045,category,169959,93878,263837
3.2341310720001317,3.7433763860000298,celebrant,799,1211,2010
3.1535133260000805,3.2427491100000196,challenger,40310,14137,54447
3.0728842219999564,3.70317101200002,champion,203122,176920,380042
2.1839983139999433,2.8985865800000497,changer,7475,2584,10059
2.323817532000021,3.8975380959999733,character,690363,486749,1177112
3.0747380439999503,3.0646085440000377,charmer,1023,292,1315
1.1795345060000102,4.048974116000046,cheerleader,7129,7446,14575
1.4391019859999759,3.909531364000159,chicken,149491,26550,176041
3.705904013999973,3.4947559560000414,chief,930238,83614,1013852
4.313452329999926,3.2990792580000843,chieftain,3107,1644,4751
2.175643340000086,4.0303007840000085,child,741674,1313110,2054784
2.994652692000116,3.0152578799998366,choreographer,2818,642,3460
2.5267608940001054,3.322670499999937,chum,2631,1083,3714
2.2719401679999933,4.110028639999939,citizen,148173,424169,572342
2.3324355159999755,3.893811850000027,claimant,5792,11538,17330
-0.5530952079999665,3.941724927999907,class,913518,202635,1116153
2.6190112219999477,3.393699955999999,classmate,11363,21505,32868
1.1678078339999942,3.9812774700000304,client,217687,162342,380029
3.4509925780000046,3.4186605279999327,climatologist,2607,1710,4317
2.6477348119999817,3.083258520000001,clone,43670,14859,58529
2.598576588000064,3.8902794440000505,coder,3689,5606,9295
2.547516115999997,3.0210848520000866,collector,30236,26981,57217
2.36436010200007,3.3233312040001195,comer,3027,1884,4911
3.9846861179999955,2.889886285999957,commander,156018,42244,198262
3.587217160000151,3.113990888000025,commentator,34298,43224,77522
3.071053790000043,3.380579715999936,commoner,1658,2323,3981
2.0257477660000376,3.330035683999924,communicator,3732,1930,5662
1.4727530420000647,3.4707671820000314,companion,58412,22314,80726
3.237403212000018,3.216771039999962,compatriot,3854,5766,9620
-0.27276052600007006,2.746959242000038,competition,333569,30010,363579
2.0566530239998997,4.155008686000066,competitor,38460,70055,108515
0.6159737720000322,3.9957523840000206,computer,562607,147007,709614
3.55175572000001,3.227249327999992,comrade,11084,21797,32881
4.19143995200001,2.895041921999969,confessor,1359,345,1704
3.3973667599999686,2.8253308379999353,confidant,5843,1721,7564
1.6241609100000574,3.7576515859999873,congener,131,343,474
2.278433146000012,3.056734650000024,conservative,585591,202174,787765
2.255775623999952,1.843546971999956,conservator,1620,1052,2672
0.7987873100000016,4.355649373999981,consumer,297398,260356,557754
1.3037885220000405,2.891042932000076,contemporary,152691,9638,162329
2.502525338000126,4.290134556000005,contender,41063,30134,71197
1.5497814220000379,4.292344681999978,contestant,14077,19782,33859
1.6701394160000547,3.0735137639999053,contractor,51364,57007,108371
1.20213506999999,3.508010088000013,controller,96056,37150,133206
2.1771176020000453,3.6508134759999464,coon,3524,3142,6666
0.9037864619999922,3.271468120000044,copycat,5793,1331,7124
4.02556796999999,3.88787657200006,cosmonaut,3588,2930,6518
3.2712532720000667,3.862048857999895,cottager,50,492,542
0.6084134000000248,2.800089738000068,counter,183062,23621,206683
2.923197634000026,3.363440946000047,cousin,49538,40521,90059
2.143822773999986,3.406027666000014,crab,18863,8318,27181
1.265859643999967,3.27088219999996,crawler,4268,2353,6621
2.92445169800002,3.1887775419999755,creator,102790,75996,178786
2.2218784939999985,3.424890640000047,creature,108032,110048,218080
1.5510303900000935,3.278443311999922,creditor,5230,21247,26477
3.6980506160000033,3.064126069999972,cripple,10583,1534,12117
2.649713025999965,2.9904881480000896,crony,8187,6419,14606
1.3170037920000226,3.949350838000015,crossbreed,466,137,603
3.4615293439999917,3.4524972679999806,crusader,12713,10185,22898
2.677856366000036,2.630311873999908,cultist,1507,2684,4191
2.3535972699999803,4.120448161999974,dancer,15972,17784,33756
2.6593945180001057,3.6072996359999507,debater,1370,1468,2838
3.4524658359999023,3.074730366000047,defender,117539,86322,203861
2.5362389640001126,3.614421207999989,deist,675,476,1151
3.702239302000045,3.256174450000046,demigod,1481,711,2192
3.0839220940000125,2.660492155999986,demon,40968,30127,71095
2.8758145320001063,3.38375755200007,denier,4148,7311,11459
2.9220113079999663,3.6106957479998485,denizen,1204,6409,7613
