SG_SG,SG_PL,PL_SG,PL_PL,sent
-5.187360069999997,-8.313289576999981,-7.486212166399994,-5.179447283073602,client
-5.422377841499998,-8.761112526400023,-7.906203651400001,-5.6553726330800025,clone
-7.928340542000004,-9.07466146079999,-8.369730810999982,-6.621626255660008,closer
-5.329239163399987,-9.301072324200005,-7.420277227399996,-5.785270986032008,coder
-5.625729486548005,-9.483814417999984,-7.648869119000005,-6.002527006425406,collector
-4.863648527360005,-8.988059073599993,-7.96802523759997,-5.506677257532211,combatant
-6.364985035112003,-8.505698706599988,-7.519155594599995,-5.571849449158863,comer
-4.973043280619998,-9.699074150599989,-7.544958807800019,-6.035200279113997,commander
-5.156419833675997,-9.232873822199977,-7.257675968200004,-6.386781878152016,commentator
-5.327498022039994,-8.275198636799999,-7.4369418712000135,-5.1517875880600075,commoner
-6.68244180585999,-9.258935476199985,-8.008384870599988,-5.438269577069494,companion
-8.602018013399992,-8.74350897980002,-9.6311824378,-7.211801929600007,competition
-5.304905206660004,-8.316264541999994,-7.486507928800003,-4.8532603228054025,competitor
-7.623758535199999,-9.14969186420002,-9.174842931200027,-6.839985046220008,computer
-4.875496477977997,-9.596075553399992,-7.356038620600008,-5.668595311953994,comrade
-4.5053757410339985,-8.838567123400017,-6.973624339399989,-5.3471671826480005,confessor
-6.879306790200008,-9.044130382200002,-7.864664465999986,-6.396230623859994,conservative
-6.421241219319999,-8.102067238800004,-7.590959375999992,-4.976049529539998,consumer
-8.788395816000005,-10.220014233200008,-7.343533116200012,-6.023275733679996,contemporary
-6.199431775619999,-8.550974471799996,-8.06070077879999,-5.117790080522877,contender
-4.595973623959995,-7.216104681200004,-7.0879639468000075,-4.511942726619203,contestant
-5.758020180771995,-8.741586194000005,-7.678332948400008,-5.984235680942004,contractor
-6.189234663620003,-9.343189332799993,-8.030426306,-6.2909335007368,controller
-5.816627740439995,-8.413039782800004,-7.468904332399988,-5.44994683234761,coon
-7.126675335199997,-9.196067383800012,-7.926123442000001,-6.094254062726394,copycat
-5.541636922459996,-9.194193774799997,-7.505283240600003,-5.904915220769992,correspondent
