s,p,sent,s_freq,p_freq,freq
3.2460576969200012,2.0703873646199966,believer,355,228,583
3.038420640999985,2.292927843100008,beloved,547,4,551
3.8067927795439855,1.7986988215480135,benefactor,187,94,281
3.4514275205999843,1.97854505275998,bidder,118,56,174
4.879616066713988,1.8396291442407398,billionaire,174,31,205
4.766643319432013,1.6157232294748836,biologist,293,237,530
1.7355543902000141,2.124829466885992,bisexual,298,9,307
3.342616369109984,1.7885313116448067,biter,12,4,16
3.202472703800016,2.0566508754999857,blogger,162,89,251
2.659612801399965,3.0015809761639938,blonde,641,31,672
3.2977156900600173,1.7486106657480134,boater,9,57,66
1.1820345909999972,3.4644671655489967,body,17987,5562,23549
2.706329220180014,1.9294300826600335,bomber,2167,2884,5051
1.2532677940000125,2.746200366579978,boob,11,18,29
3.2284510181999977,1.8095906570679947,bookmaker,37,73,110
2.4251881526000227,1.701857476423407,boomer,66,27,93
1.8367499077400042,1.7094354677073973,booster,281,98,379
4.273345840827987,0.8000223909599917,boss,2156,471,2627
4.426365888206017,1.0348871282770125,boxer,550,129,679
4.0747715199399925,1.5629684165599738,brawler,28,5,33
2.6615331881799955,1.7754550805608087,broadcaster,515,297,812
2.158964856999985,3.3009727967720917,brunette,74,5,79
4.6468819654740114,1.3783247719160068,brute,186,45,231
3.933950011180009,1.7073488186386019,buddy,424,46,470
3.1829546622519898,0.9636223394371966,buff,458,42,500
4.08239796656,1.440313496839992,builder,492,431,923
2.7885289052400015,1.5548178625820182,bull,1696,585,2281
3.9887480629380043,1.8205701474006855,bum,81,24,105
4.502249000172028,1.4950032383400025,busker,7,3,10
2.8565882370800075,1.1138639544300046,buster,238,265,503
4.175463959580009,2.403489147341297,caller,146,39,185
3.4746310985999926,3.0393026794092703,candidate,4275,2755,7030
3.6633296124200028,1.4702218109200063,capitalist,358,85,443
5.056848141749995,1.7543815026379823,captain,13626,805,14431
3.257416915300012,2.6704591982140107,captive,1064,352,1416
4.468287866459999,1.6730463783800094,captor,36,210,246
2.096583090399985,2.20247641661999,carrier,3591,2397,5988
3.2546440602800075,2.4984975477199916,cashier,63,6,69
3.062519983859996,1.942521046030805,caster,29,9,38
1.5093576111999845,2.468252824239988,catalyst,402,145,547
0.9489542464000138,2.6359246677999932,category,6389,1759,8148
3.3384795206000177,1.951844356854,challenger,456,153,609
