SG_SG,SG_PL,PL_SG,PL_PL,sent
-60.88277149963379,-65.82045542144775,-68.27401218414306,-67.56561000823974,exponent
-60.60090719604492,-65.75259580230713,-64.08076220703126,-61.86259396362305,exterminator
-62.367303100585936,-66.22921794891357,-66.59879425811768,-66.7464097366333,extremist
-56.07799954986572,-59.05557041931152,-58.389488357543954,-59.13544944000244,face
-57.83466258239746,-61.58585009002685,-58.52008578491211,-59.831596405029295,failure
-52.336115463256846,-49.62304264068604,-59.14232888031006,-55.5450369720459,family
-54.510951759338376,-58.857223892211906,-57.58943074798584,-56.60851676177978,fan
-54.50319068908691,-60.22766765594483,-59.07860463714599,-56.76402679443359,farmer
-71.90187213134766,-75.03682627868652,-73.13778491210938,-73.22026763153076,fastener
-61.44015534210205,-60.95227949523926,-70.52583932495119,-68.65255489349366,fauna
-57.55700420379639,-61.31484307098388,-57.91601943206787,-55.96003732299805,favorite
-62.786224517822255,-66.76431796264649,-64.38545050811767,-63.59546746826172,federalist
-65.07685780334472,-70.21508954620361,-72.0587978363037,-69.6797958984375,fella
-59.82930207824707,-62.62769957733154,-64.88112170410156,-63.0711190032959,fellow
-59.965071479797366,-64.93143309783936,-64.08932698059083,-62.854456405639645,fencer
-67.30570796203614,-70.50110051727295,-66.82214222717285,-65.10313446807861,feudatory
-55.06024555206299,-59.600364532470714,-58.41301761627197,-56.89045359802246,fiddler
-54.897737342834475,-59.826489814758304,-59.18526299285889,-56.51638333892822,fighter
-52.797678504943846,-57.02853563690186,-56.2186541595459,-54.9323366394043,figure
-60.74557751464844,-66.07744416046143,-62.702984146118155,-62.239174591064454,financier
-61.55266170501709,-66.75611529541014,-60.4825745010376,-61.195110214233395,finder
-62.657319396972646,-66.73495555877686,-64.47076497650147,-60.8454462966919,finisher
-62.828813491821286,-65.54415039825439,-63.39072902679443,-64.65987008666993,flake
-58.87247677612304,-63.22372845458985,-63.31479402160645,-62.024866828918455,flatmate
-62.20106443786621,-67.14351472473146,-66.98773733520508,-66.00602852630615,flier
-58.77241709136962,-59.69825454711914,-66.91362413024902,-66.19351176452636,flora
-63.344763191223144,-67.13165380096436,-65.84958158874511,-64.39500588226318,flyer
-54.47677261352539,-59.46992451477051,-58.1826598739624,-56.585009765625,foe
-55.56821781921387,-60.10048793792725,-58.06357334899902,-56.36536740875244,follower
-54.06090875244141,-59.28933826446533,-64.52056673431396,-64.114510597229,fool
-56.64232857513428,-62.95523341369629,-58.83990412902832,-57.5942805480957,foreigner
-63.38673143005371,-66.34099181365967,-62.16128193664551,-60.0712116317749,forerunner
-50.436202041625975,-54.80391985321045,-56.06922859954834,-53.46805110168457,fox
-61.26783808898926,-66.86656245422363,-64.97559480285645,-64.68367376708984,freelancer
-57.204139083862295,-62.435427940368655,-68.5007015914917,-67.11110140228271,freethinker
-55.48276448059082,-60.7323150100708,-55.52611601257324,-54.47418352508545,friend
-66.50130284118653,-70.4825375289917,-65.41325692749024,-63.31073537445069,fucker
-51.414787940979004,-57.07689727783203,-58.51699887084961,-55.74098823547363,fugitive
-61.04968620300293,-64.75456006622315,-65.26616365051271,-64.60013781738282,fuller
-52.803848693847655,-58.714776062011715,-60.98080773162842,-59.84866870880127,gambler
-54.51450783538819,-59.782166007995606,-58.42234980010986,-58.834504638671866,gatekeeper
-63.46687342834473,-68.297531791687,-70.76035813903809,-67.20724276733398,gatherer
-59.71509468078613,-62.377491630554196,-63.233572074890134,-62.19155596923828,gay
-62.50068046569825,-67.27104622650147,-67.11464749145507,-65.51836923217772,geek
-59.52717678833008,-64.63840985107421,-66.46414807891846,-66.84728565216065,genealogist
-56.89617881774903,-61.28539698028565,-61.890788635253905,-59.80649971008301,genius
-57.96271006774902,-61.85291899871826,-59.71524034118652,-59.134309478759775,gentile
-57.120880615234384,-62.1897331237793,-64.28681086730957,-64.43879456329346,geographer
-59.36218894958496,-64.62528009033203,-65.54824082946777,-66.02136714935303,geologist
-55.79578253936768,-60.57939697265625,-60.23417032623291,-56.856872016906735,giant
-60.58406016540528,-65.85016627502442,-64.57323258209229,-63.5180662689209,giver
-60.33888401031494,-64.25168757629396,-65.41868530273436,-63.61163497161865,gladiator
-57.37930752563477,-60.66602269744873,-60.26664500427246,-59.46897326660157,goat
-60.938409927368156,-66.22428582763672,-61.26660488891603,-60.661382438659665,goon
-54.54631416320801,-57.37172235107422,-62.646304328918454,-60.39433910369874,great
-60.00593390655518,-64.93039693450928,-66.94060929870605,-63.352156921386715,grownup
-67.44488838195801,-70.36926390838623,-66.03496499633789,-67.10468242645264,grunt
-56.595414268493656,-61.41622131347656,-60.92254001617432,-60.86431697845459,guardian
-66.51331002044678,-70.172500289917,-62.43264527893066,-60.979055305480955,guerilla
-61.42912628936767,-65.34891548156739,-62.530363319396976,-61.17464119720459,guerrilla
-57.60420114898682,-62.392681243896476,-56.75684503173828,-57.00953107452393,guide
-61.56795639801025,-66.56351564025879,-62.05267603302002,-60.536727233886715,gull
-57.18110772705078,-62.61327140808106,-64.07958820343018,-63.49912532043457,guru
-58.0701572265625,-61.23316564178466,-65.6047480545044,-65.84978569793701,gutter
-56.61219730377197,-61.39480514526368,-66.25411448669432,-65.09966010284424,hacker
-71.83240281677246,-75.07910845947265,-69.62629458618164,-69.90047373962402,hanger
-59.15306519317627,-64.19207025909424,-60.62967070770264,-59.901003746032714,hater
-54.39687773895264,-59.07805657196045,-58.45530936431885,-57.354967544555656,head
-53.56926878356934,-58.99791198730469,-55.92680821228027,-56.044574615478524,healer
-62.7567615737915,-66.84314220428467,-63.41276157379151,-61.43141672515869,hearer
-54.8502548828125,-58.86778910827637,-54.43560762023926,-53.345540229797365,heathen
-68.16015259552002,-71.23875130462646,-66.24155301666259,-63.56217273712159,heavyweight
-61.58767088317871,-66.68178374481201,-67.25145044708252,-66.19396630859374,hedonist
-58.23750215148926,-62.663877685546865,-57.85648498535157,-56.91878514099121,helper
-61.205573265075685,-63.63214295196534,-67.59541951751709,-65.74836064147951,heterosexual
-66.74859184265135,-71.33447888183593,-73.22852780914306,-72.0395940322876,hobbyist
-60.14905041503906,-65.57472006225586,-63.24974460601807,-61.82069965362549,holder
-57.996132347106936,-62.07941847991943,-66.0570507736206,-64.54140769958497,holidaymaker
-59.96771681976318,-64.56160370635986,-70.63004230499267,-68.62111573791503,homeowner
-59.87172231292725,-63.29693222045898,-63.955841972351074,-62.162567672729494,homosexual
-58.359514854431154,-60.83242082977295,-58.24570468902588,-56.97534925079346,honey
-60.8622144241333,-64.31754769897461,-64.77216958618165,-61.33104503631592,hopeful
-56.13127534484863,-61.500407974243174,-64.93276811981201,-65.21734418487549,horticulturist
-51.56582646179199,-57.025606491088865,-55.59046547698975,-55.74364611053467,host
-61.37951976013184,-66.44244854736328,-64.04866314697266,-61.61084925842285,householder
-72.56474380493164,-75.7124246673584,-59.773105178833006,-61.78952210998535,hugger
-60.420113754272464,-63.37810132598877,-70.35589501190185,-68.26948620605471,hulk
-57.27219055175781,-61.571377014160156,-61.05312496185303,-60.286845703125,humanist
-60.87447161865234,-65.10023700714112,-62.03244752502442,-60.6879027633667,humanitarian
-60.73054607391357,-65.86718571472169,-65.21103119659423,-64.89297589111328,humorist
-72.51903692626955,-76.40553436279295,-68.9695145187378,-66.85933467102049,humpback
-52.73961358642578,-58.548207969665526,-58.08761853027344,-56.584497955322256,hunter
-61.5269744720459,-64.49885457611084,-60.666393074035646,-60.33641725921631,hybrid
-56.275425537109385,-61.49457858276367,-65.66994482421875,-64.198739402771,idealist
-60.92962434387207,-65.8777890625,-63.93699896240234,-63.574032592773435,ideologue
-59.94502632141114,-64.87289958953858,-62.13055818939209,-61.288615005493156,idiot
-72.50518999481201,-76.28960263061524,-61.75412643432618,-59.57145643615723,idler
-57.46819499206543,-62.51288974761963,-56.404167205810545,-56.795275215148926,illusionist
-59.49081498718262,-63.50434298706055,-62.0116439666748,-58.338504333496104,imitator
-55.501438423156735,-59.52802972412109,-60.68548481750489,-60.28676774597168,incarnation
-58.29022277832031,-62.32023673248291,-61.82382266998291,-61.241709083557126,incompetent
-57.80030487060546,-61.362836097717285,-63.959535095214854,-62.16556089782715,independent
-53.2495973892212,-56.08019412994385,-58.47722683715821,-56.43795220184326,individual
-62.345085792541504,-66.86047863769531,-58.551770927429196,-57.60462890625,individualist
-59.95216567993164,-63.02762638092041,-60.74210911560058,-59.56775408172607,inferior
-55.75095797729493,-60.60402378082276,-62.25938960266113,-61.558476234436036,infidel
-56.72452619934082,-62.15468332672119,-58.00280712890625,-58.29264057922363,informant
-58.97624979400635,-63.844463592529294,-58.54254465484619,-55.21274295043946,inhabitant
