Noun,PC1,PC2,PC3,Frequency
distributor,3.443939043183334,-0.12890997605133678,0.44786943639869226,837
cripple,3.423479395893744,1.3931433721240467,-0.6007346111662815,151
transfer,3.4219216205991265,1.0502855401523692,0.40113505053177057,4440
opposite,3.4216794056537574,1.6251104545372246,0.955073920540363,3754
albino,3.4120707734368327,1.2162076684828749,-0.9481894211052565,96
rationalist,3.316578096950441,-1.6451629798046752,1.816298659689101,61
official,3.298329676196904,0.9951835229487063,-0.47217702464526,21495
planner,3.267939459444436,-1.132976579221376,1.2899860417257305,530
lefty,3.2514692785416495,-1.5548618163379944,-3.796025279613632,94
diploid,3.2414854622627205,0.3652996171826184,-2.152657984654377,105
secularist,3.2295919707011596,-1.5930967056918564,0.5602988202267334,16
appointment,3.2200307371974533,0.2831220352488717,-0.7565312119946312,3398
producer,3.193638552197429,-1.078296517107231,-0.30760437207473185,16635
humanist,3.180916678038587,-1.6440982969131157,-0.6414103108611828,256
primitive,3.1706702245706655,-0.4986100818050791,-1.6093196681288047,1125
runt,3.1371018287772863,-0.3293777490526047,-3.3272209387471174,28
individualist,3.1151160915458562,-2.8473675335652002,-0.21319144694468808,72
contemporary,3.1085273047552304,-0.369474283101576,0.4597055823531986,8305
heathen,3.106601602312142,-1.583667957305304,-0.4291288364914412,255
fauna,3.0873130186899647,3.209600072982782,1.385660982039557,694
libertine,3.0718691219499226,-0.4333623840596516,-0.8316290811220237,65
illusionist,3.068828043698137,-1.930621647851369,-0.3690543584796433,33
balance,3.0616371027463316,5.040607407770059,1.6774244003280372,2897
developer,3.0164964705878807,-1.912421191824571,-0.08476358624168163,3541
centrist,2.9562418245245325,-1.1800920148342249,-0.26398474525966054,75
superior,2.9516379082470126,1.5202363576966287,0.8384082079682995,3486
terror,2.950990433693141,5.1986329243708775,1.179303036526042,1067
beloved,2.9492131811777265,-1.3982989618003647,-1.8015923954602484,551
advocate,2.9309442162914494,-1.6479771133891885,1.7606056250413147,2018
paraplegic,2.9218804531262133,-0.5024984927025316,-0.7096826058474295,66
scourge,2.8978169277723214,4.182748700394127,1.5822852738206052,67
palaeontologist,2.8958238559820466,-1.1107070352351853,0.26919246411689357,134
antiquarian,2.86333416049166,-1.9377889295032045,-0.12052562774202144,333
climatologist,2.796720429315579,-0.9927974558435628,2.640812667533273,16
federalist,2.7857210574144995,-1.334446570918205,-0.5376436008071426,538
conservative,2.778570895770677,-1.2211162444361974,-0.9842507071873259,4969
oceanographer,2.7547643643667468,-1.547605332791353,2.2017324315678914,33
passer,2.7371058497440366,-0.33513543975182974,0.3423645327604209,338
romanticist,2.7041121448020733,-2.666137224024461,-1.5522942868534353,24
samurai,2.6240191062716027,-1.068133506258902,-0.13206871773594586,259
progressive,2.623581417596808,-0.7268502837705876,0.3853611546566665,2040
linguist,2.5986435946267776,-0.08626078779503223,1.7492181360235475,257
pansy,2.5523990958668845,0.7840673573754207,-1.748746752057285,20
natural,2.5461879139388452,0.33628869620940455,-0.22265907187246914,10248
counter,2.533437042825531,1.9933429882210996,2.875280023377199,3974
selector,2.521095289776883,0.3199093839728078,1.527551014444276,528
bleacher,2.510492144654628,1.542506067327687,-0.1366518385317716,130
secular,2.5087071632552695,0.15311576541480168,-0.8666848439815896,1095
originator,2.5066124114540065,-1.8712155278209457,-0.2723765809269119,105
fuller,2.4960415597837895,-0.7004084064199309,-0.8123999454385149,923
subversive,2.492231569629112,0.40752798989525263,0.019689643069433313,251
mastermind,2.4830677504030048,-0.6718365811670642,0.795232936398212,148
archivist,2.4793004787945923,-0.49540806783535746,1.6295405556097375,84
hybrid,2.4620559790831362,1.4087311378601985,-1.2141354489297058,1895
relative,2.455504671580092,2.0681544853256772,-1.0229806117688294,5427
honey,2.4507469777659847,1.5277279154330488,-0.3293121057333013,1019
publicist,2.4079802315933776,-0.21652053936706095,0.847963135568073,242
geographer,2.4049371822289713,-0.5689125833409558,0.6940313724920089,174
censor,2.398921914369703,0.333154694501189,1.0854655448119874,598
liberal,2.395589797258632,-1.2515765651588204,-0.7003872688528263,4407
agnostic,2.386667121806661,-2.8769551326397775,0.5798904592967521,161
recusant,2.368260522396946,0.94177028239566,-0.4759547204510745,48
pagan,2.349965564207298,0.03158239759468879,0.13475002501648123,1114
libertarian,2.3461748087436005,-1.7323123090590364,0.01847060507998049,389
authority,2.343310744750824,3.1636190812004794,2.240215970638871,12864
heterosexual,2.340511602557033,-0.05539711495925701,-0.6992911453439954,304
spade,2.3193342874929863,3.5496032503549966,-0.6125528658097371,151
forerunner,2.318422153813441,-0.8134608025982601,-0.26267647569714186,547
pleaser,2.29366854928833,-0.049935123224694705,0.14051917552977636,28
rafter,2.2804123951778372,2.7397992099848847,0.65445164981337,149
reformist,2.2669536074994108,-0.0009706135289165383,0.1491282026894812,178
plebeian,2.249588186670734,-1.3376813106145424,-0.612376128772319,286
oddball,2.2391069059576285,-1.0666933317386855,-0.85829508058036,43
initiator,2.220264141959567,-1.4255055325241122,-0.32545398885545584,108
precursor,2.215867577798485,0.015228660797525868,-1.0029677868717979,1045
director,2.2064328252343763,-0.7888901507936865,0.1782246850290868,19833
numismatist,2.2024701521942425,-1.3157772386030213,0.6762545914787431,151
allocator,2.190201933966677,3.3377429538202947,-0.11753958368641933,79
assignee,2.189798822622382,0.11313565430310867,1.295066452273018,15
radical,2.1689693725004977,-0.27174077188482504,-0.9056263256454021,2436
geologist,2.144379986178375,-1.2518783831571938,1.076207144619474,415
shrimp,2.1443154453631963,2.9798737852004438,0.04452210989047239,419
closer,2.1437892334212063,-0.08294443353709635,0.5947578598291182,3333
monolingual,2.143729255541456,-1.1618196753238275,-0.6486024380739234,26
extremist,2.139458976114692,0.47071571580148924,0.3894613633224041,219
preserver,2.115652233140186,1.119996302218877,-1.2920564381024053,31
gay,2.0781016852811285,0.35705989818410433,-0.7807652475288943,4330
biologist,2.061454026854407,-1.0143624234581017,0.009431135989848826,530
boob,2.0579229194298545,1.703599945330557,-1.6922773269247702,29
partisan,2.05404284980109,1.2926796186932843,-0.07437357811235305,1958
referral,2.0516200626998793,2.0741826415480316,0.14085866283913967,81
freethinker,2.0489124798801774,-2.6085216331515095,-0.5093631898205402,20
nationalist,2.047774724699307,-0.3571461057015033,-0.028303266088729215,2020
incompetent,2.040648377675587,-0.2750301598669829,-0.8361640637077792,254
darling,2.0403469552100857,-0.8776810531982391,0.07518789283416988,430
secessionist,2.0209986095516506,-0.10143425748517813,-0.4435517299031901,119
substitute,2.000981855715247,3.3180014167751692,-0.9143880236537446,2033
gentile,1.9908145129755228,-0.35697071442689876,0.3042036609409847,81
creator,1.9833237113984248,-2.4761544706908225,-0.6218361423998008,3821
polyploid,1.9823216574328153,-0.15976735068727824,-2.8037227132497273,17
idler,1.9767929069111274,-0.88217417089346,-2.9653559457084837,35
anarchist,1.956993895371595,-1.3035964661102792,-0.47708318510710157,887
theorist,1.9426856956324565,-1.6334163069814909,1.3079577210931552,520
isolationist,1.9410656447496633,-1.6080893323369647,-0.6143414629305302,61
administrator,1.9327303512175813,-0.29209784236033165,1.156112534791697,1274
native,1.9241216197500095,-0.02758013118945938,-0.2814736607297511,9154
enemy,1.9176145870833328,1.58377739683409,0.8087251145463566,11635
catalyst,1.914555581878337,1.324116979188394,0.16083741832966453,547
populist,1.8920070707883907,0.08691969547804945,-0.02577692107050164,324
bather,1.881674256161792,-0.1537995778485474,0.46848396896809164,32
personification,1.8806868071244984,0.7326407499145251,0.8366974701547047,173
exchanger,1.8359583719116466,0.5050254263898718,0.9905969784384309,42
infidel,1.8241652647993627,-2.193895761556804,0.7134680367394526,67
