Noun,PC1,PC2,PC3,Frequency
pedestrian,1.9441709249663046,1.0385385629581516,-0.3590379451057747,817
advocate,1.9386313409718974,-1.1749193839107486,1.5438151060617538,2018
organism,1.9180924594602808,-1.5766229279912503,4.698953889028463,2288
prospect,1.9164186546924897,-0.8222610421822484,0.7176309310651666,2190
substitute,1.9097233331407033,-0.024058197568160536,0.49045126681960804,2033
parasite,1.8916511610175943,-2.364755958015277,4.659010941905886,1169
booster,1.8735441851808976,1.5934365722368837,0.09801954836124838,379
translator,1.866988151431536,-0.6831838843412236,1.6380375620179644,450
satellite,1.8533805017713514,-1.3313783059473965,0.6164558313649532,3314
wasp,1.8516942017232263,-0.6154602277081881,1.0779181757896248,937
heavyweight,1.8501503541118332,2.352226591107255,-0.7898790208086409,1845
native,1.8217719085565203,-0.7168558061382482,-1.096487783195261,9154
rafter,1.817974806740059,-0.978867786449443,-0.36394199888188994,149
hopeful,1.8173922882316176,2.405515333149743,-1.5042599627135722,286
incarnation,1.7977809950223984,0.12185763652231495,-0.0037801696549878212,760
sidekick,1.7901254311745243,1.4558055747625727,-0.5606779364201406,232
planet,1.7456033171288892,-2.6766393294111452,4.157973523598149,8472
family,1.741746741196825,-2.123115657819898,-0.07835446873833045,40462
reader,1.7403994410118788,1.7266746740745427,0.2018570553459597,4175
fan,1.7344890018937502,0.6843906477633442,-0.45285849871991,15390
scorpion,1.692980263172578,-0.12133675739393211,-0.7373456995293003,296
savage,1.67542568897969,1.2985019516175462,-1.3836400845501573,1332
producer,1.6649584025482924,1.194296811585381,4.018960294841422,16635
ace,1.6628885862540277,0.3998801165910308,1.4378014049770351,1789
anarchist,1.6615272781209736,2.4894496432784226,-0.4763287524896116,887
linguist,1.6576447536511785,3.9455288482183275,-0.7823489702240441,257
official,1.6552044408452273,-1.2686421268442039,-2.378714696129565,21495
carrier,1.651979584308781,-0.5326793054505063,1.530190549526229,5988
darling,1.6457164779468771,2.354230487290669,-0.5276075923902009,430
regent,1.6422757864653612,-0.6850161734531433,0.9022686590950221,1187
mute,1.638859281482763,2.2006542929232764,-2.263236608406922,208
attraction,1.6388392941340344,-2.0245282716398445,2.2916108343859687,2317
sweetheart,1.601875176015528,1.518737876448517,-1.3135098175456603,277
heathen,1.5894146621990182,-1.684107414725004,-2.174155556666485,255
adolescent,1.5804986375346275,1.060551434934817,-0.3648556931767965,544
commentator,1.5779619715526545,0.7687924055161697,2.181856376519165,2151
vassal,1.5747301486370135,1.7423624325220575,-1.6181705628295642,538
seeker,1.5533945736115933,0.09642182035255319,1.1534568501098865,292
pasha,1.5493359994955114,1.9408063125472217,-1.4461909703645586,588
flyer,1.5487229060953478,-1.0524848865258536,1.469872397837994,823
guardian,1.5450104567074336,0.49207409307236205,-0.32989522410320354,3600
being,1.5284410248709457,2.01804927094647,1.1363050429601944,70106
hybrid,1.5209903242893001,-1.0761541741779364,0.8268295018744898,1895
auditor,1.520297433298957,2.3376388440378095,-0.6064239711398497,281
capitalist,1.519129435900647,1.8434537973490677,-1.7917493217898386,443
tease,1.5031209943427513,0.9718876120242366,0.26197354139848505,170
junior,1.4953013380885989,0.19687455323846054,0.4645645270470367,4783
pet,1.4889060450749763,-0.1987645515574772,-0.9644766363197729,1367
orphan,1.4729731691172825,0.7415441252181983,0.599153493250392,521
contender,1.4540813417199607,0.6013095031738063,1.5270200055964878,1130
spoiler,1.4159616257721963,-2.0207851716224408,-0.4673382165479917,145
tool,1.4077593254653264,-2.3920855707787148,0.08022732452044837,3022
buddy,1.4023109550997728,0.2686613814615413,0.0681770433614014,470
ancient,1.397143837580104,0.20125724661459615,-1.4084348110748963,6756
youth,1.3813148180333883,-1.22784789464421,-0.9835817581692108,5357
computer,1.3789855465197456,-0.1421860908453104,0.16807099655284874,7347
enemy,1.3780234475118842,-2.6186811715189773,0.9861032672621287,11635
controller,1.3562676083614387,-0.12796851098629175,1.2280261936528936,1527
plant,1.3493518670892597,0.12649631958299262,2.1928396706348963,13014
insurgent,1.3186570749767947,-0.7820620724691377,0.10482124700403106,641
sleeper,1.3023069904996214,2.1593427938087033,-0.5391788384609727,345
modifier,1.2743503217334027,-2.10205432826367,-1.2556935562308489,35
visionary,1.2679476743326372,2.491478468232003,-0.5331328709603916,226
individualist,1.2611414643319785,-0.7772335998807595,-1.2936596903152457,72
amateur,1.2487861848005637,-0.6147254794912461,-0.5579115568128884,2465
deist,1.2470119100244752,-1.3914261982975311,-1.6025656993049882,46
whale,1.2435255357361494,-0.24353731792965705,2.0511883077255413,3152
ape,1.2259019497741859,-0.035415130484988115,0.9580448727000498,579
viewer,1.2216755488571243,1.1460460186339154,2.442685954745778,8380
