Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
addict,1.0856540299076942,1.3643669241379326,-0.23051845616706468,-0.7339498005304621,1.1119207002202105,1.5518426447441707,0.06371023257609434,0.39681372658879177,0.19845993884735935,-0.04656872266747379,0.04718351687749542,0.2783900571263172,0.11894262100480871,0.5520212096061914,0.0800475113355558,1.0755097691254316,-0.16138073573096834,0.6677642183671951,0.1264392599281865,0.43224544799878384,145,72,12455,18953
adherent,-0.5291175265158392,-0.6167588965454037,-0.8046815072427769,0.5239493863135618,0.3385641329845442,0.2421171240935857,-0.3947699274492744,0.291221040295357,-1.3885854500264043,-0.5223627040730112,-0.26667507631762777,-0.7811352842949453,-0.1286166211471898,0.1778423835915602,0.07942999933730911,0.5299197716094961,-0.6483610215531366,-0.04772158935274051,-0.8152781071678374,0.1937851391871378,66,352,2216,12743
adjudicator,1.0688786321921016,0.65092057113797,-1.157402785573927,-0.5747371347105567,0.3247994401742529,-0.6028179423609552,1.8482814254266198,-0.9107603094266763,-0.9979680054141831,-1.2898809624366292,-0.5703699527768553,-1.1690005228739222,0.5365895826785814,-1.6421805163743688,0.4323162357781573,-1.4535674212875018,-1.0277301093685516,-1.4169397526350016,-0.19934669210696634,-1.1000530767034342,11,5,1096,490
administrator,0.19746528780499203,-0.6383894497707192,-0.30928843486462854,-0.62498586092551,0.691422128459025,-1.4234207216746673,1.1638496744605322,-1.2504173841182102,-0.29217977189359734,-1.3691252874553501,0.1074044856322409,-2.0552774160488356,0.6644926946954517,-1.8204130840526693,0.5414281823926961,-1.8099066956302432,-0.06283189694949247,-1.498593704823595,0.7712452370343169,-1.2837338362922854,782,492,61210,57008
admirer,0.10453569795000088,0.5601536668512134,0.1799324678057361,0.45466931210284345,1.0419141053496515,0.7916585811131296,1.3271990201424597,0.5658250265666425,-0.4663663264270128,0.13930877141087383,0.04228833361295915,0.605931122014695,0.34540515177707876,-0.41671571997785256,0.8251737828789418,-0.05373701891298223,0.5177250413788954,-0.7639992523931765,0.5123736938689041,-0.8787389401701038,270,182,6444,6882
adolescent,-0.31562421174942495,1.1983430879260308,-0.9000460068334798,0.836244624416578,-0.3351380984156862,0.7714767198683352,-0.9685795992083788,0.5774792565384042,-1.1943242466721538,0.7622222089349207,0.752162625129216,-0.764644630738211,-0.31675572631155774,1.8262465391584954,0.2802861122222073,1.6128462815061821,-0.7472634416193809,1.6118504835510001,-0.8384091293078367,1.5498347446046274,335,209,26820,18675
adult,-0.5859187300155023,0.3328930242261848,-0.944904824525709,2.545925000282294,-0.5581178564488785,-0.19288907311582237,-0.2476811043883421,2.2715509070823687,-0.686241793101408,0.3978361104214172,0.005346557192008043,0.8685875604177586,-0.3345856462537204,1.2970050469035965,-0.6330809759953454,1.2668248026783575,-0.5222570269857358,0.7869978561592348,-0.9437613186035634,1.0435518332107871,5529,3574,245407,211316
adventurer,0.6797475037218892,1.307166402099759,0.07098191684070154,0.3127193553865437,0.6015693594660569,0.008192273792695687,-1.6096615439720265,-0.5101720804123244,-0.5278443937894275,0.2513924244819631,-0.33031692285524955,-0.544299262637535,1.3515826909815745,0.8763419844828706,1.6729762550898692,0.30964833310125994,1.143186391008784,0.5784393691830205,0.9688211723453486,0.2665136456143432,192,152,6950,8770
adversary,1.6553704193827377,1.0623627119965573,0.7503671250709457,0.5696278124886401,1.8610167673808942,0.6164202969513009,0.4940772516281482,0.7961865683001712,0.2812872246473826,0.9243296986054181,0.3878848322931301,1.2658431439646265,0.5786167605804483,0.9689355988163137,0.4373921867699687,1.0768264502721379,0.907291117634326,0.677000108748752,0.904037510817536,0.3574892068864446,196,197,14726,15142
advocate,-0.5453206463520479,-0.4945928047975771,-2.62354962920927,-0.7658015641305281,-0.46863924242603683,0.6311439143995454,0.228554779206527,-0.6690169193986466,-0.12751326834473578,-3.1414451985608505,0.0870739066622287,-1.084694566260373,0.504587598200994,-1.010721748691701,0.7451148166815484,-0.5240222748260146,-1.6169047698536188,-1.4106971847812972,-0.8959425132551054,-1.0724432618654585,1365,653,129120,169090
agent,-0.14342813830918136,-0.7002314296952131,0.3256786810457683,1.1588254326381326,0.15960628857907544,-0.7426812634553535,1.1567525715008908,1.2193692833245293,0.6219690622964886,0.8853464139795453,1.6041956577961112,1.5025155647605934,0.2122601159076049,-1.262780905957368,0.12824799596780062,-1.2446495301669787,0.8018566775983293,-0.9528957452383513,0.7054762330661174,-0.4397982881509758,5241,3117,296265,259730
aggregator,0.17972886989879266,-0.06956995726375388,1.2005590834593804,0.7143553606094988,-0.199234137980296,-0.431126927630379,-0.494262126381404,0.6452883754708807,0.8005177451627722,0.20750721584847873,0.36792402774735977,0.415343242585019,-0.47954264799411145,-0.38636505427922774,-0.5563022871233292,-0.6353468929802725,0.7677797308982255,-0.058133310803110905,0.2382897582418064,-0.40255710677474826,443,12,5228,2317
