Noun,PC1,PC2,PC3,Frequency
rounder,4.275491933730557,-1.5296925332817386,0.41861760143818294,5300
class,4.215882172764214,1.7810846756217678,0.26271562844854585,1116153
suppressor,4.168680962348466,1.3658137395151484,2.171807994747458,5574
rock,4.167401822699691,1.4323918535368705,-0.07692792669143154,483808
lot,4.162356959410707,1.1185240662772438,-0.16982301827184432,3135794
bleacher,4.106029923211022,0.32670016871803076,-0.3207645398579678,13031
replacement,4.021551482822492,-0.5467502950610166,-0.32269039864227844,158545
rafter,3.9726106545380486,1.4548647697715684,0.7932699251979416,4325
polyploid,3.8082626153557877,-2.2306258212685597,-0.9584020706731559,285
relative,3.7987593885084507,-0.8908289608820568,-1.2759868869538447,338814
divider,3.779144335448583,1.2123249803031726,1.1008793810015882,4247
diploid,3.7375716244693065,-2.269190447968103,-0.23313917171038456,1392
gutter,3.7216924008026577,0.5573165153169088,0.4697606330216716,6931
supernumerary,3.645393197553997,-2.6874194305223402,-0.875541133474383,562
riser,3.6208767395901202,2.4837813253836876,0.20639137172679634,4302
topper,3.6119827529980855,-2.3060955092036024,1.8211687535084349,3681
contemporary,3.603081757575743,-1.675750489594878,-2.5654438517148064,162329
trimmer,3.5633898250918787,-0.9061174203195584,0.6021658613303058,2219
heathen,3.5143425263716592,-3.1095051439964427,0.02960441299244322,5239
waver,3.3695703348046653,0.5129231754492277,-0.3893815993508207,3236
retainer,3.3151099429421116,-0.02383420562692911,0.033602265718107496,3886
poster,3.303364534096477,3.3465957441752465,-0.9676826280551925,128610
dresser,3.2843102227366368,0.8002860806180242,-0.6853060399687543,4580
finder,3.2714204365731625,-2.703356221697275,0.867557532488031,11406
personification,3.2599959824124496,-0.8198878862228985,0.4620073744844114,4657
repeater,3.25740683370928,2.958165920451554,-0.105521259193279,3717
allocator,3.1956925652476817,1.4428582231569986,-1.7452694199180594,3451
predecessor,3.1748994926339402,-1.813222318957677,-0.38112974721879556,49790
scrubber,3.169237189504507,3.385669627703396,0.7901752044726987,1394
figure,3.1625070481372552,1.4027211318619033,2.2897568296790767,1108775
forerunner,3.1368140572647603,-2.185819524468967,1.3353382876050028,8915
agonist,3.10331880538865,-1.190619594056443,0.32276705457669636,7867
aggregator,2.8954355638238023,2.9905635083586852,-0.17176399228193392,7545
accumulator,2.891395349560161,1.3994090623928728,0.06318640658838597,2663
screamer,2.8605068959086273,-1.6632092180502585,1.2623180016868383,1576
flier,2.8571231946784947,2.4893271341735836,0.9128857325394183,16414
favorite,2.847412819298168,-2.560171320503432,-1.2828824040445463,605991
splitter,2.8102216879188946,0.5661608961266373,0.8097433854784133,5514
wiper,2.8043175735310304,4.323063404225557,1.1650564092735693,3685
feudatory,2.7921753093517334,-2.58627358660047,-0.3707315187158061,97
copycat,2.7828090869325055,0.6798068999204012,-0.2794303851862101,7124
hybrid,2.759663532311944,0.34306339523416596,-0.8831556015593809,105762
prospect,2.7568025092345247,3.2359919945803157,0.7154302229308035,281296
booster,2.755898885119743,1.691548494613769,0.15667461160630317,37175
guide,2.74986358356722,0.7097181545230931,1.2961339786190507,335281
face,2.7359733569950104,0.8774765277092064,0.5554796818003831,1410688
ringer,2.73075352989104,-1.6613095172124188,0.42331692885154654,4674
exchanger,2.7261137113456257,-0.17637680556005528,0.032568302056039534,2432
superior,2.7160477612355627,-1.86350947085893,-0.6994114620270734,154256
substitute,2.7038332137191614,-1.4910287884823394,0.33818921716113665,77620
gay,2.6986781030037044,-1.8277324823531604,-1.144360460241904,456007
federalist,2.6081547575730144,-0.7705995582176611,-0.14776886259920005,12684
parasite,2.578234528460345,1.6300894965348962,1.3586678714428815,27383
enemy,2.5250561092578696,0.6363293115062866,0.13701213165432213,418137
party,2.5065899114096415,4.035768122547149,-0.06895505715438555,2067081
buster,2.4971654425615184,-2.467303135195319,-0.30086606619206047,13951
scab,2.418475679916962,4.538273760254592,0.40758137377948306,3135
dropout,2.3596066268487816,-0.8441571194354044,-0.1788878704194589,10788
distributor,2.306809790995288,2.0751761054180395,-0.4647896608888078,38108
engine,2.3067886202378465,3.315233834558547,0.5738492085168628,396929
pansy,2.302492352672003,-1.473281641579088,0.017161354547818197,1287
rectifier,2.274521653659649,1.1956653183505748,0.8754506700487159,1049
