Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
adult,-1.236022568614406,1.4539489330711173,1.4325651099022778,-0.25344670940832903,-0.362217464613502,0.31940923797422954,0.8280494946980606,0.8775775774844743,1.1055846165438257,0.9716871523324109,-0.03694728849011222,0.9860896538399997,-1.0526948352201524,1.022857209892684,-0.4538204218428199,0.89350043567652,-0.8685900687594679,1.2369380947126782,-0.805774614443303,1.0104732209456868,5529,3574,245407,211316
adventurer,1.5401673610442974,0.29058668588843944,-0.25245115834987575,-1.1617416164411574,-0.19725194141488195,-1.174501730748398,1.1274076894955956,0.16699690308269172,0.23875311656965906,-0.52385275991033,0.3406198843894863,-0.8792735090180165,-0.08698871599459973,0.27987790988353584,0.350289701466699,-0.20130702008703916,-0.08296691069479341,-0.053758023331907295,-0.5266237641250942,0.13431362273265807,192,152,6950,8770
adversary,1.2216394717691976,-0.14849265411377188,0.19867105556814924,0.8360798015439052,1.2514220658078288,0.11973293907574817,1.526465693701044,0.874660012913842,-0.4401683886074864,0.2870586990390538,-0.023054037279912516,0.33868419812577444,-0.07612216294750188,0.46725485405320544,-0.3488887255584149,0.6832260360468219,-0.12850325672538299,0.8583562977167019,0.26501904429425477,1.088631719383016,196,197,14726,15142
advocate,0.4452117399104223,0.8880043769747286,0.3894982513233466,2.4795411030932275,-0.9430183186674632,0.7158847782308417,1.1612689409999162,1.203080968188696,0.1119106374187614,-0.32653258715970834,0.13966038598193228,1.281410271535636,0.02157040922920409,-0.057965801215404344,0.3278699706379199,-0.33075654277455635,0.05226803865584678,-0.15786126289952668,-0.20237770423111023,0.16772751883179055,1365,653,129120,169090
agent,0.8730036186858855,0.20524869886126207,0.9498748938392632,0.41188552808780415,-0.27269995355381293,-0.7632666946051394,0.8204939412524301,1.0991063015679603,0.9660563774130546,-0.12388694124412097,1.4101977639191046,-0.2959843534794822,0.2015302281563392,-1.4295944614473992,0.14568470066032663,-1.1888374656049812,0.16838981697216313,-0.6440878372193946,0.37101547434311644,-0.08834064934391042,5241,3117,296265,259730
aggregator,-0.14531668191856228,1.326482974519351,0.28858381995673665,1.0130772375384691,-0.19933196864855485,2.5189736972520307,-1.3928082517468168,-1.7774084817539442,1.2752713480631224,1.2636355464763043,0.7929955534217297,1.0009713234606823,-2.2821665361278405,0.8473986501646291,-1.932129445913295,0.5998858212816316,-2.484796336543572,1.5774785839612724,-2.105215752956603,1.3276634345758154,443,12,5228,2317
agonist,-1.4347584249765921,-0.010879585125507935,-1.7722035781939538,1.4093383585485602,-0.7779675875175556,0.8830592347795201,-1.897439446104074,-1.3963614424797792,-1.351552353247222,-0.14780954734702942,-1.5912272806671675,0.8266950352800229,-1.079173432119645,-0.658931500069737,-0.3672826748520259,-0.3752355923206581,-1.1797677977526444,-0.24296356417392828,-1.0692912977018414,0.059024910978886125,74,65,4617,3250
albino,-1.9289342461988261,0.7740964405358083,-1.8881532869424622,-0.33849318661182287,-1.0398726702329248,1.6014109734759148,-1.043304510983399,-0.2131695547497035,-0.8942722355442084,1.757709076652465,-1.3058073325018857,1.0332853796826842,-0.11118387618428624,0.9126908740339699,0.06745116975294888,1.0125333972975503,0.14395254311012687,0.4589880695292311,-0.4013981416817496,0.6740674259632937,85,11,4706,945
alien,0.020969282191588872,0.8300686049087556,0.14845981197603764,-0.15400080485146597,0.012248640714300247,0.3981878163389154,1.1230017425074614,1.1243587307116505,1.6766334063887618,0.5531610274315577,1.4983606555617934,0.4378817853149243,0.0663502886431169,-0.5829481883042392,-0.20866320256845491,-0.10961821743403655,0.17094632176239777,-0.1810485194087731,0.40131184707495626,0.760800266598086,3286,1309,134423,59864
allocator,-1.0290411474315964,-0.18056055622045328,-1.1996388575730155,1.7297519366687315,-0.3411456805226627,0.4407541944312138,-2.514575121476949,-2.0069207484547067,0.41217194153620873,1.9242513008242108,0.24654910451808573,2.454354158661967,-1.9952557304446266,1.0730514427475788,-1.4863439644812242,0.3217241124064586,-2.0490553716086426,1.4444838804441957,-1.8667007535974014,1.2181426523069931,40,39,2767,684
amputee,0.3031108719862591,-0.6631553853813132,-0.08995857317219108,0.7784087466897003,0.08050143552073827,-0.3264814988175901,0.7288177994048739,0.26025388356063217,0.228968776318065,0.28674517322268633,0.10762085147417826,0.4843943973974041,1.0540523583381445,0.9757754134658615,1.5463720398978789,1.705668914280436,0.8856165365229258,0.6051533267581723,1.0155786095339145,-0.1313859633222329,59,28,2353,1728
analyst,0.29524450650752937,0.39405120876938204,0.7726458516470402,1.737671902434489,-0.06090806530969591,0.3607157124823501,0.6808218223974078,0.606237438893649,0.7664337755749973,-0.954574111059946,1.4681110666158927,-0.656107940988005,0.6193586798982909,0.09268603304328166,0.49441784147397916,0.23341617924111646,0.5992544614760399,-0.7395572542571672,0.7578875201413144,-0.7692919857394207,462,549,140326,139030
anarchist,-1.7525582293264252,0.21259977798597332,0.47877872194768617,-1.145852241767646,-1.5985582953375514,-0.828341898273594,-0.45950230984186197,-0.02079357632492737,0.3222443784237695,0.8785545876087915,-0.27392071466514406,-0.9999076506176627,-0.13241931515758357,0.28713835688651423,-0.26541567763694074,-0.01350658830395221,0.6243470388266574,0.9210677271134222,-0.7908311525057337,0.5896774434325703,566,321,44060,26033
anatomist,0.09649539325248208,0.7807808244599077,-0.714347292389621,0.06335009606711894,-0.3071296497924352,0.32241451574788993,0.3755665127411901,-0.05935440564585628,-0.8631441252218965,-0.9783148152100063,0.026453818722237697,-1.5319757745078617,1.0172153865532185,-1.5367730362269565,1.039396594616474,-0.8879596182941747,0.8802751933419707,-1.2189288407556527,0.4029092265486499,-1.3952998953248748,72,47,758,396
ancestor,-0.5639114037108468,-1.9994686435444127,0.8787719182329281,-0.07664662423363272,-0.326384685501878,-1.392585216425629,-0.36873803347376216,-0.3817785377488205,0.6604370192070479,-0.11542144407676183,1.773644472563745,-1.0828397660688176,0.05651201888425552,0.9516387574435607,0.6802100955575924,1.3661188644841136,-0.2968303017966274,2.405636584754106,0.3594130704528281,1.7599879324842944,931,1088,16543,40028
angel,0.6079364736801072,1.212563680321016,1.163348333362347,-0.04400183881059995,0.2646836900350368,1.0644112064747868,0.7412121456052707,0.5624066669178842,0.8446847550033802,0.7480647532643039,1.0044265698245254,-0.2340960811954328,0.3816876222310413,-1.60327842057476,-0.006568019097591901,-1.4046667887236066,0.7761478095583306,-0.9531275127020278,0.8055335174332472,-1.1689707317014868,2602,1354,71285,52496
